Year,TTC Monthly Ridership
Jan 2008,39242000
Feb 2008,35150000
Mar 2008,44924000
Apr 2008,33965000
May 2008,35357000
Jun 2008,43944000
Jul 2008,35532000
Aug 2008,34919000
Sep 2008,47629000
Oct 2008,38162000
Nov 2008,39630000
Dec 2008,38246000
Jan 2009,38164000
Feb 2009,36772000
Mar 2009,45583000
Apr 2009,35620000
May 2009,36377000
Jun 2009,44292000
Jul 2009,35386000
Aug 2009,34056000
Sep 2009,47842000
Oct 2009,37945000
Nov 2009,38732000
Dec 2009,40464000
Jan 2010,37403000
Feb 2010,36780000
Mar 2010,44902000
Apr 2010,36178000
May 2010,36823000
Jun 2010,44980000
Jul 2010,36427000
Aug 2010,34479000
Sep 2010,48479000
Oct 2010,38956000
Nov 2010,39174000
Dec 2010,42776000
Jan 2011,38249000
Feb 2011,38043000
Mar 2011,48174000
Apr 2011,37900000
May 2011,38786000
Jun 2011,48086000
Jul 2011,38128000
Aug 2011,35277000
Sep 2011,50446000
Oct 2011,40463000
Nov 2011,40661000
Dec 2011,46006000
Jan 2012,37936000
Feb 2012,39251000
Mar 2012,49555000
Apr 2012,38949000
May 2012,38951000
Jun 2012,50362000
Jul 2012,37384000
Aug 2012,36753000
Sep 2012,51614000
Oct 2012,41339000
Nov 2012,42202000
Dec 2012,49711000
Jan 2013,46045000
Feb 2013,40655000
Mar 2013,50204000
Apr 2013,40766000
May 2013,40114000
Jun 2013,50389000
Jul 2013,38989000
Aug 2013,38400000
Sep 2013,53046000
Oct 2013,42301000
Nov 2013,43328000
Dec 2013,40957000
Jan 2014,45612000
Feb 2014,41527000
Mar 2014,51320000
Apr 2014,40740000
May 2014,41040000
Jun 2014,50146000
Jul 2014,39939000
Aug 2014,38795000
Sep 2014,53197000
Oct 2014,43581000
Nov 2014,45322000
Dec 2014,43596000
Jan 2015,45027000
Feb 2015,41682000
Mar 2015,50982000
Apr 2015,42045000
May 2015,41505000
Jun 2015,49881000
Jul 2015,39247000
Aug 2015,38275000
Sep 2015,52277000
Oct 2015,42918000
Nov 2015,44175000
Dec 2015,45991000
Jan 2016,43490000
Feb 2016,40371000
Mar 2016,50867000
Apr 2016,42816000
May 2016,41308000
Jun 2016,51285000
Jul 2016,41274000
Aug 2016,37974000
Sep 2016,52481000
Oct 2016,43064000
Nov 2016,44112000
Dec 2016,49037000
Jan 2017,39606000
Feb 2017,40966000
Mar 2017,51768000
Apr 2017,41978000
May 2017,40598000
Jun 2017,52528000
Jul 2017,40182000
Aug 2017,38144000
Sep 2017,52473000
Oct 2017,42279000
Nov 2017,43080000
Dec 2017,49614000
Jan 2018,47565000
Feb 2018,41112000
Mar 2018,50732000
Apr 2018,41302000
May 2018,39941000
Jun 2018,50966000
Jul 2018,39054000
Aug 2018,37217000
Sep 2018,41986000
Oct 2018,40934000
Nov 2018,52207000
Dec 2018,38388000
Jan 2019,45792000
Feb 2019,39421000
Mar 2019,51989000
